Gene	expression1	expression2	expression3	expression4	expression5	expression6	expression7	expression8	expression9	expression10
Gene1	-0.8815657340999999	-0.1613539787	0.9311802088000001	2.842019844	-0.1517337265	-0.27107170950000004	0.1733236781	-1.2555128142000003	-1.183211055	-0.8589609883
Gene2	-0.0688080322	0.3671432884	-0.48757655499999997	0.8921379557999998	-0.0570292672	0.1458128743	-0.7710567054999999	-0.6239493322	0.3777357346	-0.3685417997
Gene3	1.5340120679	-0.7087745082000001	-0.7710567054999999	0.1315134471	-0.5104647237	0.2839684284	-0.0191068131	-0.9746356465	0.9875496612000001	0.1067470206
Gene4	-0.32332196700000004	-0.1399555779	-1.0709402515	1.1261807587	-1.6653492587999998	-0.48757655499999997	-0.438408366	0.7132887362	-0.3468679732	-0.1517337265
Gene5	0.9605254787999999	-0.2178534078	-0.6546869094	-0.09812046300000002	-0.9344936887999999	-0.4086456377	-0.6723925309000001	-0.6948896468	-1.0709402515	0.46505782789999994
Gene6	-0.3685417997	2.0033469695	0.7897896433	-0.4086456377	1.6902082559	-0.9640388245	-0.9640388245	1.0964993025000003	0.7132887362	-0.8815657340999999
Gene7	-0.42652070870000003	1.7805638592999997	-1.3834158138000001	-2.8666057002	-0.6948896468	1.4377491734999999	1.3782112803	0.3926761794	-1.3133808817000001	1.1962187749
Gene8	-0.0010552394000000005	0.3152932578	-0.8815657340999999	-1.286091091	0.46505782789999994	0.3036528041	-0.0688080322	-0.0450606625	2.2106958456999997	-0.10987372440000001
Gene9	-1.0856666271	0.9102291612999999	1.1125642499999997	-0.9344936887999999	0.7897896433	0.1733236781	0.0883853566	1.2217036278	-1.4614540651999999	-0.9080866494000001
Gene10	0.6383010213	0.4398371968	-2.3724043462	0.3152932578	1.1125642499999997	0.8620021909	0.4398371968	-0.7413288372	0.1546625965	-1.1122148661
Gene11	-1.9539591134000003	-1.183211055	0.2906908541	-0.6546869094	0.6383010213	0.3777357346	1.2495170562	0.8620021909	-0.8943584472999999	-0.7413288372
Gene12	-0.1517337265	-0.9496042548999999	-0.7333163046	-1.0177201952000001	0.9432581012	-0.2178534078	0.1315134471	0.5450485572999999	-1.4964450207	0.9875496612000001
