Gene	expression1	expression2	expression3	expression4	expression5	expression6	expression7	expression8	expression9	expression10
Gene1	-0.858173142	-0.139079711	0.865472633	3.803808114	-0.115127678	-0.340275341	0.130010082	-1.37280277	-1.095502958	-0.851938438
Gene2	-0.130802861	0.480757259	-0.428382284	1.051824781	-0.053146017	0.18660836	-0.759487293	-0.551481657	0.327199808	-0.359877991
Gene3	1.469135092	-0.815659759	-0.617188035	0.145182775	-0.503168403	0.331523649	-0.055051452	-0.934694481	0.920855377	0.077509177
Gene4	-0.371510367	-0.106366347	-0.897941051	1.214045585	-1.730614251	-0.548624701	-0.462933753	0.815689103	-0.274349121	-0.139258047
Gene5	0.948211082	-0.180797722	-0.54000591	-0.069251344	-0.997641286	-0.473587463	-0.657948564	-0.654580912	-0.930108768	0.387637345
Gene6	-0.412843521	2.049369458	0.724688999	-0.392992976	1.682256296	-1.024004612	-0.958823631	1.147021506	0.642151338	-0.865358316
Gene7	-0.492371929	1.840617208	-1.163624865	-2.966354925	-0.726920357	1.426733577	1.281547243	0.444467371	-1.214802378	1.21698295
Gene8	-0.044663508	0.409185659	-0.779400227	-1.387229146	0.476472188	0.338502387	-0.119483472	0.051543425	2.239130435	-0.098942319
Gene9	-1.148062988	0.996546505	1.016520678	-0.950141559	0.845577264	0.211329592	0.001806475	1.307545558	-1.458265022	-0.892685882
Gene10	0.572425379	0.576344803	-1.89803182	0.378990747	1.141983521	0.803254922	0.376866991	-0.690101283	0.152769391	-1.039319335
Gene11	-1.927788935	-1.343362095	0.298833662	-0.652201828	0.711940678	0.391868374	1.209236439	1.014197038	-0.814924231	-0.777758769
Gene12	-0.219797868	-1.164599818	-0.577994541	-1.03195977	0.976579134	-0.322910591	0.052356992	0.716331088	-1.461715541	0.919840829
Gene13	0.145622507	-1.167369574	0.723170812	-0.204484563	0.132495231	-1.03908941	2.262658319	-0.251445177	-0.317316522	0.827182176
Gene14	-1.328646283	0.640633873	0.654251266	0.492301921	-1.000840283	-0.809432901	-0.861884379	1.088360208	1.194743536	-0.43533909
Gene15	-0.977625226	0.222286111	0.910800877	0.970929672	2.006713363	-1.480754693	0.368424128	0.581574146	2.096325012	0.223364232
Gene16	0.127954469	-1.742365409	-0.01829993	-0.907544572	-0.049081152	-1.122783127	0.720129338	-0.677390952	-0.345367214	-0.68651947
Gene17	0.689678613	-0.65224923	0.290669231	0.190934498	0.400008669	-1.491431024	1.361768505	-0.785092221	2.527380204	0.527311763
