Gene	Regulation_status
Gene1	upregulated
Gene2	upregulated
Gene3	upregulated
Gene4	upregulated
Gene5	upregulated
Gene6	upregulated
Gene7	upregulated
Gene8	upregulated
Gene9	upregulated
Gene10	upregulated
Gene11	upregulated
Gene12	upregulated
Gene13	upregulated
Gene14	upregulated
Gene15	upregulated
Gene16	upregulated
Gene17	upregulated
Gene18	upregulated
Gene19	upregulated
Gene20	upregulated
Gene21	upregulated
Gene22	upregulated
Gene23	upregulated
Gene24	upregulated
Gene25	upregulated
Gene26	upregulated
Gene27	upregulated
Gene28	upregulated
Gene29	upregulated
Gene30	upregulated
Gene31	upregulated
Gene32	upregulated
Gene33	upregulated
Gene34	upregulated
Gene35	upregulated
Gene36	upregulated
Gene37	upregulated
Gene38	upregulated
Gene39	upregulated
Gene40	upregulated
Gene41	upregulated
Gene42	upregulated
Gene43	upregulated
Gene44	upregulated
Gene45	upregulated
Gene46	upregulated
Gene47	upregulated
Gene48	upregulated
Gene49	upregulated
Gene50	upregulated
Gene51	upregulated
Gene52	upregulated
Gene53	upregulated
Gene54	upregulated
Gene55	upregulated
Gene56	upregulated
Gene57	upregulated
Gene58	upregulated
Gene59	upregulated
Gene60	upregulated
Gene61	upregulated
Gene62	upregulated
Gene63	upregulated
Gene64	upregulated
Gene65	upregulated
Gene66	upregulated
Gene67	upregulated
Gene68	upregulated
Gene69	upregulated
Gene70	upregulated
Gene71	upregulated
Gene72	upregulated
Gene73	upregulated
Gene74	upregulated
Gene75	upregulated
Gene76	upregulated
Gene77	upregulated
Gene78	upregulated
Gene79	upregulated
Gene80	upregulated
Gene81	upregulated
Gene82	upregulated
Gene83	upregulated
Gene84	upregulated
Gene85	upregulated
Gene86	upregulated
Gene87	upregulated
Gene88	upregulated
Gene89	upregulated
Gene90	upregulated
Gene91	upregulated
Gene92	upregulated
Gene93	upregulated
Gene94	upregulated
Gene95	upregulated
Gene96	upregulated
Gene97	upregulated
Gene98	upregulated
Gene99	upregulated
Gene100	upregulated
Gene101	downregulated
Gene102	downregulated
Gene103	downregulated
Gene104	downregulated
Gene105	downregulated
Gene106	downregulated
Gene107	downregulated
Gene108	downregulated
Gene109	downregulated
Gene110	downregulated
Gene111	downregulated
Gene112	downregulated
Gene113	downregulated
Gene114	downregulated
Gene115	downregulated
Gene116	downregulated
Gene117	downregulated
Gene118	downregulated
Gene119	downregulated
Gene120	downregulated
Gene121	downregulated
Gene122	downregulated
Gene123	downregulated
Gene124	downregulated
Gene125	downregulated
Gene126	downregulated
Gene127	downregulated
Gene128	downregulated
Gene129	downregulated
Gene130	downregulated
Gene131	downregulated
Gene132	downregulated
Gene133	downregulated
Gene134	downregulated
Gene135	downregulated
Gene136	downregulated
Gene137	downregulated
Gene138	downregulated
Gene139	downregulated
Gene140	downregulated
Gene141	downregulated
Gene142	downregulated
Gene143	downregulated
Gene144	downregulated
Gene145	downregulated
Gene146	downregulated
Gene147	downregulated
Gene148	downregulated
Gene149	downregulated
Gene150	downregulated
Gene151	downregulated
Gene152	downregulated
Gene153	downregulated
Gene154	downregulated
Gene155	downregulated
Gene156	downregulated
Gene157	downregulated
Gene158	downregulated
Gene159	downregulated
Gene160	downregulated
Gene161	downregulated
Gene162	downregulated
Gene163	downregulated
Gene164	downregulated
Gene165	downregulated
Gene166	downregulated
Gene167	downregulated
Gene168	downregulated
Gene169	downregulated
Gene170	downregulated
Gene171	downregulated
Gene172	downregulated
Gene173	downregulated
Gene174	downregulated
Gene175	downregulated
Gene176	downregulated
Gene177	downregulated
Gene178	downregulated
Gene179	downregulated
Gene180	downregulated
Gene181	downregulated
Gene182	downregulated
Gene183	downregulated
Gene184	downregulated
Gene185	downregulated
Gene186	downregulated
Gene187	downregulated
Gene188	downregulated
Gene189	downregulated
Gene190	downregulated
Gene191	downregulated
Gene192	downregulated
Gene193	downregulated
Gene194	downregulated
Gene195	downregulated
Gene196	downregulated
Gene197	downregulated
Gene198	downregulated
Gene199	downregulated
Gene200	downregulated
