Gene	expression1	expression2	expression3	expression4	expression5	expression6	expression7	expression8	expression9	expression10
Gene1	-0.8815657340999999	-0.1613539787	0.9311802088000001	2.842019844	-0.1517337265	-0.27107170950000004	0.17332367810000002	-1.2555128142	-1.183211055	-0.8589609883000001
Gene2	-0.06880803220000001	0.3671432884	-0.48757655499999997	0.8921379557999998	-0.05702926719999999	0.14581287429999998	-0.7710567055	-0.6239493322000002	0.3777357346	-0.3685417997
Gene3	1.5340120679	-0.7087745082	-0.7710567055	0.1315134471	-0.5104647237	0.28396842840000003	-0.0191068131	-0.9746356465	0.9875496612000001	0.1067470206
Gene4	-0.323321967	-0.1399555779	-1.0709402515	1.1261807587	-1.6653492588000003	-0.48757655499999997	-0.438408366	0.7132887362000001	-0.3468679732	-0.1517337265
Gene5	0.9605254787999999	-0.2178534078	-0.6546869094	-0.098120463	-0.9344936887999999	-0.4086456377	-0.6723925309000001	-0.6948896468000001	-1.0709402515	0.46505782790000005
Gene6	-0.3685417997	2.0033469695	0.7897896433	-0.4086456377	1.6902082559	-0.9640388244999999	-0.9640388244999999	1.0964993025	0.7132887362000001	-0.8815657340999999
Gene7	-0.42652070870000003	1.7805638593000002	-1.3834158138000001	-2.8666057002	-0.6948896468000001	1.4377491734999999	1.3782112803000002	0.3926761794	-1.3133808817000001	1.1962187749000002
Gene8	-0.0010552394000000011	0.31529325780000006	-0.8815657340999999	-1.286091091	0.46505782790000005	0.3036528041	-0.06880803220000001	-0.0450606625	2.2106958456999997	-0.10987372440000001
Gene9	-1.0856666270999997	0.9102291613000002	1.11256425	-0.9344936887999999	0.7897896433	0.17332367810000002	0.08838535659999999	1.2217036278	-1.4614540652000003	-0.9080866494000001
Gene10	0.6383010213	0.4398371968	-2.3724043462	0.31529325780000006	1.11256425	0.8620021909	0.4398371968	-0.7413288372	0.1546625965	-1.1122148661
Gene11	-1.9539591134000003	-1.183211055	0.29069085409999995	-0.6546869094	0.6383010213	0.3777357346	1.2495170562000002	0.8620021909	-0.8943584473000001	-0.7413288372
Gene12	-0.1517337265	-0.9496042548999999	-0.7333163046	-1.0177201952000001	0.9432581012	-0.2178534078	0.1315134471	0.5450485573	-1.4964450207	0.9875496612000001
Gene13	0.2018386142	-0.9640388244999999	0.7712866347	-0.2178534078	0.0745532205	-1.0177201952000001	2.2106958456999997	-0.25829766719999997	-0.3826839491	0.9102291613000002
Gene14	-1.3834158138000001	0.5450485573	0.6652957627999999	0.4496326389	-0.9496042548999999	-0.6948896468000001	-0.8589609883000001	1.0195876846999998	1.1962187749000002	-0.438408366
Gene15	-0.9859806315	0.1315134471	0.9677332158	0.7897896433	2.1067011052	-1.6149099918	0.422894658	0.47741563440000007	1.7805638593000002	0.27812145819999995
Gene16	0.17332367810000002	-1.5557704991999999	0.1067470206	-0.8815657340999999	-0.0450606625	-1.1395241934000002	0.8620021909	-0.7333163046	-0.438408366	-0.5757671752
Gene17	0.7712866347	-0.5630137708	0.27812145819999995	0.2018386142	0.3777357346	-1.6653492588000003	1.5340120679	-0.8589609883000001	2.4430418931999998	0.6652957627999999
Gene18	-0.0450606625	0.14581287429999998	0.4496326389	-0.5171945561	-2.0569260766	0.0462202808	0.6099747074999999	-0.8101197374	-1.9539591134000003	2.4430418931999998
Gene19	-0.3468679732	1.3020559623	0.9432581012	-1.0856666270999997	0.28396842840000003	0.9311802088000001	0.5739080883	-0.5104647237	2.3084857996	-1.0503944266
Gene20	0.11677671749999999	-0.18802347560000002	1.1962187749000002	-0.3573436903	1.1261807587	1.3020559623	-0.03459587580000001	-1.5190624614000001	0.8136876295000001	0.14581287429999998
Gene21	-0.5171945561	0.6782249885000001	-0.10987372440000001	0.3275469765	0.6218068479999999	-1.3287719100000002	-0.25829766719999997	0.0614810596	0.3583657125	-0.2937263798
Gene22	0.8620021909	-0.6948896468000001	-0.0010552394000000011	0.40899799560000005	-1.1122148661	-1.0709402515	-0.4751579167	-0.3573436903	-0.6377202754	-1.1563337888
Gene23	-1.4614540652000003	-0.2937263798	-0.25829766719999997	-0.25829766719999997	0.8399738081999999	-2.1395942095	-0.4086456377	-0.22447350290000007	-0.2178534078	0.9605254787999999
Gene24	-0.5431039956	-0.3573436903	1.1261807587	-0.6239493322000002	0.47741563440000007	-0.9080866494000001	-0.3468679732	-1.1122148661	2.842019844	0.2187419331
Gene25	-0.3826839491	-0.3685417997	-0.1613539787	1.3782112803000002	0.7712866347	0.25113891769999996	-0.3942834843	-0.10987372440000001	-0.9496042548999999	0.8136876295000001
Gene26	-1.3575508017	-0.5016380143999999	-0.9344936887999999	0.6782249885000001	-0.0010552394000000011	-0.42652070870000003	-0.7413288372	0.25113891769999996	0.8620021909	-0.7333163046
Gene27	2.0033469695	2.4430418931999998	1.6902082559	-0.7235754902999999	0.4398371968	1.4002955649	1.1676822436000003	-1.3575508017	-0.1517337265	0.5450485573
Gene28	0.27062259860000004	0.29069085409999995	0.032620852699999994	-0.8101197374	-0.7333163046	-0.6546869094	0.3671432884	-0.2937263798	1.1676822436000003	2.0033469695
Gene29	0.1857548513	-1.3287719100000002	0.8620021909	-0.48757655499999997	-0.9197020813	0.2187419331	-1.1395241934000002	1.11256425	-0.5104647237	0.5739080883
Gene30	0.5739080883	-0.6723925309000001	-0.22447350290000007	-0.6723925309000001	-1.286091091	0.11677671749999999	0.2187419331	-0.03459587580000001	1.2495170562000002	0.3435150096
Gene31	-0.05702926719999999	-0.3468679732	0.14581287429999998	-0.10987372440000001	0.2119005871	-0.5757671752	-0.8943584473000001	0.4398371968	-0.8368560337000002	0.5622361929000002
Gene32	-0.7710567055	-0.30467065499999996	0.0745532205	0.0462202808	0.40899799560000005	-0.8101197374	-0.2834324452	-1.3133808817000001	1.5340120679	-0.6723925309000001
Gene33	-0.27107170950000004	2.842019844	-0.438408366	-0.30467065499999996	-1.0177201952000001	-0.05702926719999999	-1.7146887881999997	0.27062259860000004	0.6652957627999999	0.5050844134999999
Gene34	0.0745532205	-0.6377202754	1.6385435912	-0.45343439100000005	2.4430418931999998	-0.03459587580000001	0.584430293	0.8399738081999999	0.9605254787999999	0.422894658
Gene35	-1.0503944266	-1.5190624614000001	1.3782112803000002	0.28396842840000003	-0.1786283039	1.3493438808	-0.7939864834000001	-0.1517337265	-1.0177201952000001	0.6782249885000001
Gene36	-1.0709402515	0.8921379557999998	-0.5270305411	0.6652957627999999	-0.18802347560000002	-0.0090673151	-0.18802347560000002	0.1857548513	0.2187419331	0.032620852699999994
Gene37	-0.1254261737	1.8800857008999998	-1.4614540652000003	-0.7792911929999999	0.7003052564000001	-0.7413288372	-0.323321967	0.4954991313	0.5333286183999999	-0.7235754902999999
Gene38	-1.1122148661	-0.7235754902999999	-0.1399555779	-0.6377202754	0.2018386142	0.5622361929000002	0.7379728062	-0.7235754902999999	-0.1399555779	-0.22447350290000007
Gene39	-1.0177201952000001	-1.3133808817000001	-0.9496042548999999	-0.323321967	0.1067470206	0.9432581012	-0.5171945561	1.0688179497	-0.3573436903	1.2725658486
Gene40	-0.6546869094	0.0462202808	2.0033469695	-2.2373823458999995	-0.0191068131	-1.792019037	-1.0856666270999997	0.6099747074999999	0.3926761794	0.3275469765
Gene41	0.6652957627999999	-0.438408366	-0.3942834843	-1.9539591134000003	0.9102291613000002	0.422894658	0.2332520218	2.1067011052	2.1067011052	-0.25829766719999997
Gene42	1.0688179497	0.8136876295000001	-1.6653492588000003	1.8800857008999998	0.2332520218	0.2018386142	0.25113891769999996	-0.5630137708	0.7379728062	1.3782112803000002
Gene43	-1.0390579485999998	0.1857548513	1.2495170562000002	-1.4964450207	-0.0901384493	-1.4283086844	0.4954991313	-0.0901384493	-0.10987372440000001	-0.6546869094
Gene44	0.032620852699999994	0.019292578200000004	-0.9080866494000001	0.17332367810000002	-0.3942834843	0.7993115787	-0.0090673151	0.6782249885000001	-0.9746356465	-1.4614540652000003
Gene45	0.28396842840000003	-0.25829766719999997	-0.18802347560000002	-2.1395942095	-0.20468754329999994	-0.8943584473000001	0.032620852699999994	0.1067470206	0.27812145819999995	0.3671432884
Gene46	-2.2373823458999995	-2.3724043462	-0.0450606625	1.037346734	-1.0503944266	-0.3942834843	0.4496326389	-0.20468754329999994	0.1315134471	-1.0177201952000001
Gene47	-0.4751579167	-0.3826839491	0.25113891769999996	-0.2834324452	-0.5171945561	0.27812145819999995	-0.05702926719999999	-0.3826839491	-0.0191068131	-1.1395241934000002
Gene48	0.8399738081999999	-0.8943584473000001	0.8769205416	-0.27107170950000004	0.31529325780000006	0.7712866347	-0.2178534078	-1.6149099918	0.1067470206	-0.5431039956
Gene49	-0.03459587580000001	0.7993115787	0.0462202808	-0.1786283039	0.3036528041	-0.6239493322000002	-0.22447350290000007	-0.9080866494000001	-0.6239493322000002	-0.8101197374
Gene50	-1.4964450207	-0.8101197374	0.31529325780000006	0.5450485573	0.11677671749999999	-0.0901384493	0.0745532205	0.27812145819999995	-0.7710567055	0.4398371968
Gene51	1.037346734	-0.323321967	0.8399738081999999	-1.8920366439999998	-0.0090673151	-1.0856666270999997	-2.0569260766	-1.4614540652000003	-1.792019037	-0.9859806315
Gene52	-0.5757671752	-2.1395942095	0.6099747074999999	-0.03459587580000001	-0.22447350290000007	1.5340120679	0.3926761794	-1.9539591134000003	0.3435150096	-0.30467065499999996
Gene53	-1.792019037	-1.0503944266	-0.7235754902999999	-1.4283086844	-0.7235754902999999	-0.06880803220000001	-1.3575508017	-0.1254261737	-0.4086456377	0.7712866347
Gene54	1.3493438808	1.0688179497	-0.1786283039	0.7571703981000001	-0.6107316164000001	-0.45343439100000005	-0.30467065499999996	-1.2145393286	1.6036334352000001	0.27062259860000004
Gene55	-0.9344936887999999	-0.8368560337000002	1.4745171536	-2.0569260766	-1.4614540652000003	-0.7535085379	-0.6948896468000001	-0.0010552394000000011	0.2018386142	0.2018386142
Gene56	0.6099747074999999	0.11677671749999999	0.6782249885000001	-1.4614540652000003	-0.6723925309000001	1.6036334352000001	0.0462202808	-0.48757655499999997	0.31529325780000006	0.0462202808
Gene57	0.5333286183999999	2.1067011052	-0.30467065499999996	-0.18802347560000002	0.1857548513	0.1315134471	0.3777357346	0.5050844134999999	-0.0901384493	0.4496326389
Gene58	-0.9080866494000001	0.9311802088000001	-0.5907572029	0.47741563440000007	-0.3685417997	0.1067470206	-1.183211055	-0.5270305411	-2.0569260766	0.1857548513
Gene59	1.8800857008999998	1.3782112803000002	1.2217036278	-1.3287719100000002	-1.792019037	-1.1563337888	-0.8101197374	-1.0177201952000001	-0.323321967	1.4377491734999999
Gene60	0.2187419331	1.0195876846999998	-1.3575508017	1.7805638593000002	0.25113891769999996	1.8800857008999998	-0.9496042548999999	-0.30467065499999996	-1.1563337888	-1.3287719100000002
